area,2018Y,2019Y,2020Y,2021Y,2022Y,sum,safe_score
강남구,7513,7304,7356,6146,6947,35266,5
영등포구,5840,5820,5217,4179,4819,25875,4
송파구,5807,5698,5410,4714,5167,26796,4
마포구,5172,4842,3688,3540,4096,21338,3
관악구,5026,5328,5261,4444,4879,24938,3
구로구,4810,4707,4175,3486,3857,21035,3
서초구,4726,5542,4601,3656,4459,22984,3
강서구,4629,4924,4415,3896,4663,22527,3
중랑구,4288,4268,3726,3210,3599,19091,2
중구,4030,4327,3411,2861,3071,17700,2
노원구,4007,4153,3743,3425,3896,19224,2
강동구,3919,4014,3788,3458,3711,18890,2
광진구,3915,4011,3601,3087,3619,18233,2
종로구,3690,3846,3102,2712,3138,16488,2
동대문구,3680,3692,3401,2959,3253,16985,2
은평구,3590,3880,3390,3244,3487,17591,2
양천구,3515,3214,3216,3015,3169,16129,2
강북구,3437,3838,2770,2301,2832,15178,2
용산구,3411,3313,2969,2381,2967,15041,2
금천구,3293,3105,2598,2439,2577,14012,2
동작구,3100,3400,3200,2631,2735,15066,2
성북구,3042,2877,2567,2411,2749,13646,1
서대문구,2802,2943,2533,2278,2374,12930,1
성동구,2457,2512,2362,2112,2194,11637,1
도봉구,2249,2110,2179,1860,2141,10539,1
